"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","total_monthly_quota","organization","repository","cost_center_name","aic_quantity","aic_gross_amount"
"2026-06-05","karim-benzema_fc","copilot","copilot_ai_credit","Left Back","358,9949","ai-credits","0,01","3,589949","3,589949","0","1000","FutbolCorp","","Napoli","358,9949","3,589949"
"2026-06-09","kevin-debruyne_fc","copilot","copilot_ai_credit","False Nine","499,0386","ai-credits","0,01","4,990386","4,990386","0","2500","FutbolCorp","","Napoli","499,0386","4,990386"
"2026-06-08","marcus-rashford_fc","copilot","copilot_ai_credit","Second Striker","454,3978","ai-credits","0,01","4,543978","4,543978","0","1900","FutbolCorp","","Barcelona","454,3978","4,543978"
"2026-06-08","robert-lewandowski_fc","copilot","copilot_ai_credit","Goalkeeper","243,1727","ai-credits","0,01","2,431727","2,431727","0","1900","FutbolCorp","","Porto","243,1727","2,431727"
"2026-06-02","toni-kroos_fc","copilot","copilot_ai_credit","Left Back","429,3146","ai-credits","0,01","4,293146","4,293146","0","1500","FutbolCorp","","Sevilla","429,3146","4,293146"
"2026-06-05","marcus-rashford_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","121,8675","ai-credits","0,01","1,218675","1,218675","0","1900","FutbolCorp","","Arsenal","121,8675","1,218675"
"2026-06-04","casemiro_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","66,5472","ai-credits","0,01","0,665472","0,665472","0","1500","FutbolCorp","","Benfica","66,5472","0,665472"
"2026-06-03","antoine-griezmann_fc","copilot","copilot_ai_credit","Left Back","107,5808","ai-credits","0,01","1,075808","1,075808","0","1000","FutbolCorp","","Borussia Dortmund","107,5808","1,075808"
"2026-06-08","toni-kroos_fc","copilot","copilot_ai_credit","False Nine","177,8699","ai-credits","0,01","1,778699","1,778699","0","2500","FutbolCorp","","Liverpool","177,8699","1,778699"
"2026-06-02","antoine-griezmann_fc","copilot","copilot_ai_credit","Right Winger","391,3311","ai-credits","0,01","3,913311","3,913311","0","1900","FutbolCorp","","Barcelona","391,3311","3,913311"
